pitch_type,game_date,player_name,events,description,stand,p_throws,home_team,away_team,bb_type,balls,strikes,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle
SL,2026-08-05,"Tatis Jr., Fernando",home_run,hit_into_play,R,R,AZ,SD,fly_ball,2,1,0,9,465,114.7,24
FC,2026-08-04,"Benge, Carson",home_run,hit_into_play,L,R,CLE,NYM,fly_ball,3,1,0,8,451,107.6,26
FS,2026-08-05,"Caminero, Junior",home_run,hit_into_play,R,R,COL,TB,fly_ball,2,2,0,3,449,105.1,38
KC,2026-08-09,"Schwarber, Kyle",home_run,hit_into_play,L,R,PHI,TOR,fly_ball,2,0,1,5,448,107.7,28
SI,2026-08-08,"Caglianone, Jac",home_run,hit_into_play,L,R,KC,CHC,fly_ball,1,1,2,1,448,111.9,24
FF,2026-08-03,"Moniak, Mickey",home_run,hit_into_play,L,R,COL,TB,fly_ball,1,1,0,8,447,104.3,30
FF,2026-08-03,"Hernández, Teoscar",home_run,hit_into_play,R,L,CHC,LAD,fly_ball,2,1,2,6,443,111.2,33
SL,2026-08-03,"Caminero, Junior",home_run,hit_into_play,R,R,COL,TB,fly_ball,0,1,2,4,442,112.4,22
SI,2026-08-09,"Burleson, Alec",home_run,hit_into_play,L,R,STL,COL,fly_ball,0,0,0,5,441,110.3,28
FC,2026-08-09,"Cowser, Colton",home_run,hit_into_play,L,R,TEX,BAL,fly_ball,3,2,0,2,441,108.9,23
FC,2026-08-08,"Bolte, Henry",home_run,hit_into_play,R,L,BOS,ATH,fly_ball,0,0,0,9,439,111.5,21
CU,2026-08-05,"Mayo, Coby",home_run,hit_into_play,R,L,BAL,LAA,fly_ball,2,2,1,4,436,105.9,31
SL,2026-08-09,"Nimmo, Brandon",home_run,hit_into_play,L,L,TEX,BAL,fly_ball,0,0,2,3,434,107.1,25
CU,2026-08-04,"Riley, Austin",home_run,hit_into_play,R,L,ATL,MIA,fly_ball,1,1,1,7,433,106.7,30
FF,2026-08-03,"Harper, Bryce",home_run,hit_into_play,L,R,PHI,WSH,fly_ball,0,0,0,8,433,112.6,22
