pitch_type,game_date,player_name,events,description,stand,p_throws,home_team,away_team,balls,strikes,hit_distance_sc,launch_speed,launch_angle,effective_speed,pitch_name
SL,2026-08-05,"Cameron, Noah",strikeout,swinging_strike_blocked,R,L,KC,MIN,1,2,,,,86,Slider
CU,2026-08-05,"Cameron, Noah",,ball,R,L,KC,MIN,0,2,,,,85.6,Curveball
FF,2026-08-05,"Cameron, Noah",,swinging_strike,R,L,KC,MIN,0,1,,,,95.1,4-Seam Fastball
CH,2026-08-05,"Cameron, Noah",,swinging_strike,R,L,KC,MIN,0,0,,,,81,Changeup
CU,2026-08-05,"Cameron, Noah",strikeout,swinging_strike,R,L,KC,MIN,1,2,,,,84.3,Curveball
SL,2026-08-05,"Cameron, Noah",,ball,R,L,KC,MIN,0,2,,,,86.7,Slider
FF,2026-08-05,"Cameron, Noah",,called_strike,R,L,KC,MIN,0,1,,,,94.4,4-Seam Fastball
FC,2026-08-05,"Cameron, Noah",,foul,R,L,KC,MIN,0,0,287,92.8,20,90.3,Cutter
SL,2026-08-05,"Cameron, Noah",strikeout,swinging_strike,L,L,KC,MIN,0,2,,,,85.7,Slider
SL,2026-08-05,"Cameron, Noah",,swinging_strike,L,L,KC,MIN,0,1,,,,84.6,Slider
ST,2026-08-05,"Scott, Christian",field_out,hit_into_play,L,R,CLE,NYM,0,2,281,88.9,20,84,Sweeper
SL,2026-08-05,"Cameron, Noah",,foul_bunt,L,L,KC,MIN,0,0,,,,83.5,Slider
ST,2026-08-05,"Scott, Christian",,swinging_strike,L,R,CLE,NYM,0,1,,,,82.5,Sweeper
SL,2026-08-05,"Cameron, Noah",strikeout,swinging_strike,R,L,KC,MIN,1,2,,,,85.9,Slider
CU,2026-08-05,"Cameron, Noah",,called_strike,R,L,KC,MIN,1,1,,,,79.3,Curveball
ST,2026-08-05,"Scott, Christian",,foul,L,R,CLE,NYM,0,0,38,101,-3,83.6,Sweeper
SI,2026-08-05,"Rogers, Trevor",single,hit_into_play,L,L,BAL,LAA,0,1,116,79.4,9,93.4,Sinker
ST,2026-08-05,"Scott, Christian",strikeout,swinging_strike,L,R,CLE,NYM,2,2,,,,82.2,Sweeper
CH,2026-08-05,"Cameron, Noah",,foul,R,L,KC,MIN,1,0,175,75,19,81.5,Changeup
